Monkey,Date,Amp2,Width2,Freq2,Dur2,Active Channels,Return Channels,Dimension,Fixed Magnitude,n Levels
U,2016-09-26,0.0,0.0,0.0,0.0,8,128,Amp,0.0,26.0
U,2016-09-27,0.0,0.0,0.0,0.0,15,64,Both,,9.0
U,2016-09-28,0.0,0.0,0.0,0.0,8,128,Amp,0.0,18.0
U,2016-09-29,0.0,0.0,0.0,0.0,15,128,Amp,0.0,10.0
U,2016-10-03,0.0,0.0,0.0,0.0,15,64,Amp,0.0,9.0
U,2016-10-05,0.0,0.0,0.0,0.0,240,4,Amp,0.0,9.0
U,2016-10-06,0.0,0.0,0.0,0.0,15,128,Amp,0.0,6.0
U,2016-10-06,0.0,0.0,0.0,0.0,240,2,Amp,0.0,8.0
U,2016-10-07,0.0,0.0,0.0,0.0,15,16,Amp,0.0,8.0
U,2016-10-07,0.0,0.0,0.0,0.0,15,128,Both,,10.0
U,2016-10-10,0.0,0.0,0.0,0.0,15,240,Amp,0.0,9.0
U,2016-10-11,0.0,0.0,0.0,0.0,12,192,Amp,0.0,8.0
U,2016-10-11,0.0,0.0,0.0,0.0,15,128,,,1.0
U,2016-10-12,0.0,0.0,0.0,0.0,12,192,Amp,0.0,8.0
U,2016-10-12,0.0,0.0,0.0,0.0,15,128,Amp,0.0,3.0
U,2016-10-13,0.0,0.0,0.0,0.0,3,48,Amp,0.0,9.0
U,2016-10-14,0.0,0.0,0.0,0.0,9,144,Amp,0.0,8.0
U,2016-10-14,0.0,0.0,0.0,0.0,15,128,Amp,0.0,2.0
U,2016-10-17,0.0,0.0,0.0,0.0,6,96,Amp,0.0,8.0
U,2016-10-18,0.0,0.0,0.0,0.0,9,144,Amp,0.0,8.0
U,2016-10-19,0.0,0.0,0.0,0.0,14,224,Amp,0.0,8.0
U,2016-10-20,0.0,0.0,0.0,0.0,15,128,Amp,0.0,8.0
U,2016-10-21,0.0,0.0,0.0,0.0,15,64,Amp,0.0,8.0
U,2016-10-21,0.0,0.0,0.0,0.0,15,128,Amp,0.0,2.0
U,2016-10-25,0.0,0.0,0.0,0.0,15,128,Amp,0.0,8.0
U,2016-10-26,0.0,0.0,0.0,0.0,6,96,Amp,0.0,8.0
U,2016-10-26,0.0,0.0,0.0,0.0,6,192,,,1.0
U,2016-10-26,0.0,0.0,0.0,0.0,14,128,,,1.0
U,2016-10-26,0.0,0.0,0.0,0.0,15,128,Both,,16.0
U,2016-10-27,0.0,0.0,0.0,0.0,9,144,Amp,0.0,8.0
U,2016-10-27,0.0,0.0,0.0,0.0,15,64,Both,,20.0
U,2016-10-27,0.0,0.0,0.0,0.0,15,128,Amp,0.0,2.0
U,2016-10-28,0.0,0.0,0.0,0.0,9,144,Amp,0.0,8.0
U,2016-10-28,0.0,0.0,0.0,0.0,15,32,Both,,11.0
U,2016-10-28,0.0,0.0,0.0,0.0,15,128,Amp,0.0,4.0
U,2016-10-31,0.0,0.0,0.0,0.0,15,192,Amp,0.0,9.0
U,2016-10-31,0.0,0.0,0.0,0.0,60,195,Amp,0.0,8.0
U,2016-11-01,0.0,0.0,0.0,0.0,9,144,Amp,0.0,3.0
U,2016-11-01,0.0,0.0,0.0,0.0,15,128,Both,,26.0
U,2016-11-02,0.0,0.0,0.0,0.0,15,128,Both,,16.0
U,2016-11-03,0.0,0.0,0.0,0.0,12,192,,,1.0
U,2016-11-03,0.0,0.0,0.0,0.0,15,128,,,1.0
U,2016-11-03,0.0,0.0,0.0,0.0,15,192,Both,,11.0
U,2016-11-03,0.0,0.0,0.0,0.0,16,128,,,1.0
U,2016-11-03,0.0,0.0,0.0,0.0,112,128,,,1.0
U,2016-11-04,0.0,0.0,0.0,0.0,15,192,Width,0.0,9.0
U,2016-11-09,0.0,0.0,0.0,0.0,15,64,Width,0.0,9.0
U,2016-11-10,0.0,0.0,0.0,0.0,15,96,Both,,19.0
U,2016-11-11,0.0,0.0,0.0,0.0,15,16,Both,,23.0
U,2016-11-11,0.0,0.0,0.0,0.0,15,128,,,4.0
U,2016-11-14,0.0,0.0,0.0,0.0,15,128,Amp,0.0,8.0
U,2016-11-15,0.0,0.0,0.0,0.0,15,128,Both,,73.0
U,2016-11-15,0.0,0.0,0.0,0.0,15,144,Amp,0.0,2.0
U,2016-11-16,0.0,0.0,0.0,0.0,15,240,Amp,0.0,9.0
