Monkey,Day,Amp2,Width2,Freq2,Dur2,Active_Channels,Return_Channels,Freq1,Dur1,Dimension,Fixed_Param_Value,Date,Threshold,width,lambda,gamma,beta,location_CI_95,width_CI_95,lambda_CI_95,gamma_CI_95,beta_CI_95,location_CI_5,width_CI_5,lambda_CI_5,gamma_CI_5,beta_CI_5,Experiment Type,Reference Amplitude (μA),Reference Pulse Width (μs),Reference Charge (nC),Amplitude (μA),Pulse Width (μs),Threshold_Charge_nC,Difference Threshold (nC),Weber_Fraction
U,287,300,200,50,200,15,128,50,200,Amp,200,4/7/2017,568.8777172,222.5018545,7.74E-10,0.091720657,1.31E-13,534.3030299,142.0025237,0.001365712,0.037701383,0.002204352,588.8812445,345.9019768,0.137039072,0.165300068,0.216072094,Discrimination,300,200,60,568.8777172,200,113.7755434,53.77554344,0.896259057
U,290,480,200,50,500,15,128,50,500,Amp,200,4/10/2017,482.3875976,59.64114738,0.215566082,2.07E-10,4.08E-11,466.8745355,30.80637032,0.033091291,0.002703178,0.001970914,502.5693582,173.1869891,0.295176317,0.311385657,0.199988731,Discrimination,480,200,96,482.3875976,200,96.47751952,0.477519519,0.004974162
U,291,500,200,50,500,15,128,50,500,Amp,200,4/11/2017,625.6972087,360.3994125,1.02E-07,2.82E-06,4.42E-05,502.0627638,182.8443106,0.000638129,0.002551951,0.002534347,717.8407751,928.9469727,0.088007546,0.269812339,0.306327401,Discrimination,500,200,100,625.6972087,200,125.1394417,25.13944174,0.251394417
U,293,500,200,50,500,15,128,50,500,Amp,200,4/13/2017,527.5175468,294.93615,0.013718895,1.25E-13,5.99E-06,466.3331163,173.0874658,0.001918494,0.002461831,0.002109215,570.2611482,513.8785729,0.077406625,0.29337071,0.224463056,Discrimination,500,200,100,527.5175468,200,105.5035094,5.50350937,0.055035094
U,294,400,200,50,500,15,128,50,500,Amp,200,4/14/2017,495.6916328,222.3590236,8.68E-14,4.20E-05,2.09E-10,464.4162887,70.13075273,0.00066922,0.004224161,0.002274111,548.4971302,370.001074,0.087204772,0.294328656,0.253691917,Discrimination,400,200,80,495.6916328,200,99.13832657,19.13832657,0.239229082
U,294,580,200,50,500,15,128,50,500,Amp,200,4/14/2017,625.0249218,65.64134117,1.26E-08,3.33E-07,6.33E-05,606.4051954,44.9525641,0.000591597,0.001619287,0.002643903,644.819927,164.477975,0.08019426,0.198395646,0.328622913,Discrimination,580,200,116,625.0249218,200,125.0049844,9.004984351,0.077629175
U,294,670,200,50,500,15,128,50,500,Amp,200,4/14/2017,709.7192213,125.4703918,0.029932178,1.01E-05,2.41E-13,663.8625946,58.97472373,0.004006058,0.00255908,0.002318546,743.7516407,373.400187,0.150750655,0.277810514,0.267716527,Discrimination,670,200,134,709.7192213,200,141.9438443,7.943844268,0.05928242
U,299,300,200,50,500,15,16,50,500,Amp,200,4/19/2017,349.6110365,129.378234,9.61E-08,1.37E-06,6.70E-13,313.3510071,57.79004617,0.000887005,0.002614166,0.002677399,380.3344315,290.9120484,0.11394815,0.258283035,0.321870525,Discrimination,300,200,60,349.6110365,200,69.9222073,9.922207302,0.165370122
U,299,420,200,50,500,15,16,50,500,Amp,200,4/19/2017,442.7029639,237.7638059,0.018141794,5.24E-07,3.35E-05,406.1042144,114.1034344,0.002194091,0.002285977,0.00260679,469.5197373,405.9766562,0.147096964,0.272850271,0.244763274,Discrimination,420,200,84,442.7029639,200,88.54059279,4.540592788,0.054054676
U,306,300,200,50,500,15,128,50,500,Amp,200,4/26/2017,375.1812766,55.57222548,3.05E-09,9.88E-09,0.000222501,334.4074393,40.7624425,0.001278367,0.001674184,0.002646686,413.7170763,303.0112333,0.168563814,0.217258115,0.336019324,Discrimination,300,200,60,375.1812766,200,75.03625531,15.03625531,0.250604255
U,306,500,200,50,500,15,128,50,500,Amp,200,4/26/2017,585.8637719,231.0870773,4.89E-14,6.84E-07,4.50E-13,498.7142623,73.64452913,0.002449393,0.002905577,0.002475639,706.5706825,508.6682951,0.293221377,0.308258146,0.296724203,Discrimination,500,200,100,585.8637719,200,117.1727544,17.17275438,0.171727544
U,308,70,200,50,500,15,16,50,500,Amp,200,4/28/2017,225.4864789,43.83951872,1.20E-08,3.20E-09,0.000104319,210.7467968,37.4077636,0.000527703,0.000798014,0.00453078,239.9050852,100.1116014,0.075777324,0.112841946,0.540259599,Discrimination,70,200,14,225.4864789,200,45.09729577,31.09729577,2.221235412
U,308,140,200,50,500,15,16,50,500,Amp,200,4/28/2017,233.5492597,19.99291265,0.065330201,6.46E-07,9.31E-08,216.8523351,16.14642519,0.016216954,0.00073809,0.002404962,246.2527166,128.4043731,0.178617875,0.101710369,0.291951924,Discrimination,140,200,28,233.5492597,200,46.70985195,18.70985195,0.668208998
U,312,300,200,50,500,15,128,50,500,Amp,200,5/2/2017,368.2751824,118.5112068,7.44E-09,1.05E-05,0.000127774,357.0743237,65.98746038,0.000262539,0.003015233,0.002232107,390.2879874,168.0865326,0.03653526,0.248174907,0.263299126,Discrimination,300,200,60,368.2751824,200,73.65503647,13.65503647,0.227583941
U,313,400,200,50,500,15,128,50,500,Amp,200,5/3/2017,440.6752978,117.7795984,0.000121023,0.009681899,2.20E-12,419.6560015,48.27110922,0.002372939,0.007638343,0.002207367,454.1628916,180.7023839,0.163108181,0.060100113,0.262531765,Discrimination,400,200,80,440.6752978,200,88.13505956,8.135059557,0.101688244
U,313,600,200,50,500,15,128,50,500,Amp,200,5/3/2017,680.6811583,173.8951188,1.13E-12,8.60E-07,5.42E-13,649.7571668,90.52577007,0.001179165,0.001895209,0.002293005,709.7791784,309.600503,0.136523719,0.22447588,0.262993867,Discrimination,600,200,120,680.6811583,200,136.1362317,16.13623166,0.134468597
U,313,610,200,50,500,15,128,50,500,Amp,200,5/3/2017,524.7784921,303.2898663,1.04E-15,1.89E-05,8.21E-08,346.4904158,60.98682985,0.003648756,0.00279586,0.002526454,653.5073885,548.0506038,0.327884017,0.311664625,0.308961877,Discrimination,610,200,122,524.7784921,200,104.9556984,-17.04430158,-0.13970739
U,320,400,200,50,500,15,128,50,500,Amp,200,5/10/2017,613.4274133,186.7243221,2.80E-05,3.74E-15,2.18E-11,516.1332537,60.99795732,0.00294232,0.001722587,0.002550859,680.2466081,484.4367307,0.337494354,0.210765126,0.311240698,Discrimination,400,200,80,613.4274133,200,122.6854827,42.68548266,0.533568533
